altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,6,9,Chicago,437,True,True,Chicago,2020-05-01 04:21:16,41.86193049278259,Chicago,-87.69345045089722,60602,Chicago,Chicago,Washtenaw Ave & Ogden Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,12,Chicago,438,True,True,Chicago,2020-05-01 04:46:20,41.85420431327,Chicago,-87.7154058381,60602,Chicago,Chicago,Central Park Ave & Ogden Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,4,7,Chicago,439,True,True,Chicago,2020-05-01 04:56:42,41.85353363213,Chicago,-87.7050730318,60602,Chicago,Chicago,Kedzie Ave & 21st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,3,8,Chicago,440,True,True,Chicago,2020-05-01 04:06:13,41.8481,Chicago,-87.715068,60602,Chicago,Chicago,Central Park Ave & 24th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,5,6,Chicago,441,True,True,Chicago,2020-05-01 04:56:42,41.84819094491,Chicago,-87.7054137458,60602,Chicago,Chicago,Kedzie Ave & 24th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,6,5,Chicago,442,True,True,Chicago,2020-05-01 09:37:41,41.84910969176,Chicago,-87.6951398068,60602,Chicago,Chicago,California Ave & 23rd Pl,IN_SERVICE,1,IN_SERVICE,False,11
0.0,2,5,Chicago,443,True,True,Chicago,2020-05-01 04:21:16,41.84456684891,Chicago,-87.7159103081,60602,Chicago,Chicago,Millard Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,7
0.0,7,4,Chicago,444,True,True,Chicago,2020-05-01 09:31:15,41.84447501366,Chicago,-87.7020130128,60602,Chicago,Chicago,Albany Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,4,7,Chicago,445,True,True,Chicago,2020-05-01 04:56:42,41.84404003127,Chicago,-87.6952959227,60602,Chicago,Chicago,California Ave & 26th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,3,8,Chicago,446,True,True,Chicago,2020-05-01 04:21:16,41.84151770807,Chicago,-87.6851314409,60602,Chicago,Chicago,Western Ave & 28th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,6,9,Chicago,447,True,True,Chicago,2020-05-01 11:30:23,42.00797192287,Chicago,-87.6655023944,60602,Chicago,Chicago,Glenwood Ave & Morse Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,4,Chicago,448,True,True,Chicago,2020-05-01 05:25:11,42.00454962194,Chicago,-87.6806661451,60602,Chicago,Chicago,Warren Park East,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,8,Chicago,449,True,True,Chicago,2020-05-01 04:26:16,42.00445062934,Chicago,-87.6724024047,60602,Chicago,Chicago,Clark St & Columbia Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,450,True,True,Chicago,2020-05-01 04:16:15,42.001785,Chicago,-87.688829,60602,Chicago,Chicago,Warren Park West,IN_SERVICE,1,IN_SERVICE,False,11
0.0,15,8,Chicago,451,True,True,Chicago,2020-05-01 08:55:25,42.00104377979,Chicago,-87.6611982433,60602,Chicago,Chicago,Sheridan Rd & Loyola Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,5,6,Chicago,452,True,True,Chicago,2020-05-01 10:58:56,41.99416136902,Chicago,-87.689438282,60602,Chicago,Chicago,Western Ave & Granville Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,8,7,Chicago,453,True,True,Chicago,2020-05-01 04:56:43,41.99925182186,Chicago,-87.6713773393,60602,Chicago,Chicago,Clark St & Schreiber Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,16,Chicago,454,True,True,Chicago,2020-05-01 10:20:18,41.9947796884,Chicago,-87.6602845349,60602,Chicago,Chicago,Broadway & Granville Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,4,7,Chicago,455,True,True,Chicago,2020-05-01 04:21:16,41.99023602867,Chicago,-87.6933696402,60602,Chicago,Chicago,Maplewood Ave & Peterson Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,4,Chicago,456,True,True,Chicago,2020-05-01 05:40:20,41.991178,Chicago,-87.683593,60602,Chicago,Chicago,2112 W Peterson Ave,IN_SERVICE,1,IN_SERVICE,False,11
0.0,9,6,Chicago,457,True,True,Chicago,2020-05-01 11:16:41,41.99051755556753,Chicago,-87.66983360052109,60602,Chicago,Chicago,Clark St & Elmdale Ave,IN_SERVICE,1,IN_SERVICE,False,15
